user_id,age_group,gender,occupation,primary_platform,daily_usage_hours,usage_frequency,trust_in_social_media,influencer_influence,feels_addicted,content_consumption_style,decision_influence_level,follows_travel_content,follows_entertainment,follows_educational,follows_business,visual_content_preference,engages_with_travel_posts,saves_travel_content,plans_trips_via_social_media,self_reported_travel_interest,preferred_travel_type
U02861,18-21,Female,Student,Facebook,1-2,Medium,Medium,Yes,No,Interactive,High,No,Yes,No,Yes,Low,Often,Yes,No,High,Adventure
U02862,22-25,Other,Employed,Instagram,3-5,Low,Low,Sometimes,Yes,Interactive,Medium,No,Yes,Yes,No,Low,Sometimes,No,Yes,Low,Urban
U02863,22-25,Male,Student,YouTube,3-5,High,Low,No,No,Interactive,High,Yes,Yes,Yes,No,High,Rarely,Yes,No,Medium,Relaxation
U02864,22-25,Female,Employed,Instagram,5+,High,Medium,Sometimes,No,Interactive,High,No,Yes,Yes,No,Medium,Often,Yes,Yes,Medium,Relaxation
U02865,22-25,Female,Employed,YouTube,<1,Medium,High,Yes,No,Passive,Low,No,No,Yes,No,Low,Rarely,Yes,No,High,Relaxation
U02866,22-25,Female,Employed,Facebook,<1,High,Medium,No,No,Passive,High,Yes,Yes,No,Yes,High,Rarely,No,No,Medium,Urban
U02867,22-25,Female,Employed,Facebook,5+,Medium,High,No,Yes,Passive,Low,No,Yes,Yes,Yes,High,Rarely,No,Yes,Low,Culture
U02868,22-25,Other,Student,Instagram,3-5,Medium,High,No,Yes,Passive,Medium,No,No,No,No,Low,Rarely,No,No,Low,Urban
U02869,22-25,Other,Employed,Facebook,3-5,Medium,High,Sometimes,No,Interactive,Low,No,No,Yes,Yes,High,Often,Yes,Yes,High,Culture
U02870,18-21,Female,Student,Instagram,1-2,Low,Low,Sometimes,No,Passive,High,Yes,No,Yes,No,Medium,Often,Yes,No,High,Relaxation
U02871,22-25,Female,Student,Instagram,3-5,Low,Medium,No,Yes,Passive,Low,Yes,Yes,Yes,No,Low,Rarely,No,Yes,Low,Adventure
U02872,18-21,Other,Employed,Facebook,<1,High,High,No,No,Interactive,Medium,Yes,Yes,Yes,Yes,High,Rarely,Yes,No,Low,Adventure
U02873,18-21,Female,Employed,TikTok,1-2,Medium,Medium,Yes,No,Passive,Medium,Yes,No,No,Yes,Medium,Often,No,No,Low,Urban
U02874,22-25,Male,Employed,Facebook,5+,Medium,Low,No,No,Passive,Low,No,Yes,Yes,Yes,Medium,Rarely,Yes,Yes,Medium,Culture
U02875,22-25,Other,Student,TikTok,<1,Medium,Low,No,No,Interactive,High,Yes,No,Yes,No,Low,Often,No,No,High,Urban
U02876,22-25,Other,Employed,TikTok,5+,Medium,Low,Yes,No,Passive,Medium,No,Yes,Yes,No,High,Sometimes,Yes,No,High,Culture
U02877,18-21,Female,Employed,Facebook,1-2,Medium,High,No,Yes,Passive,Medium,Yes,No,No,No,High,Rarely,Yes,No,High,Urban
U02878,18-21,Other,Student,YouTube,1-2,Medium,Low,No,Yes,Interactive,High,Yes,Yes,Yes,No,Low,Sometimes,Yes,No,High,Relaxation
U02879,18-21,Male,Employed,TikTok,1-2,High,Low,Sometimes,No,Interactive,Medium,No,Yes,No,Yes,Low,Rarely,No,Yes,High,Urban
U02880,18-21,Male,Employed,TikTok,1-2,Low,Medium,Sometimes,Yes,Passive,Low,Yes,Yes,Yes,No,Medium,Sometimes,Yes,Yes,High,Relaxation
U02881,22-25,Male,Employed,Facebook,1-2,Low,Medium,Yes,No,Passive,Medium,No,No,No,Yes,Medium,Rarely,Yes,No,High,Adventure
U02882,18-21,Male,Student,Instagram,5+,Medium,Low,Sometimes,Yes,Passive,Medium,No,Yes,Yes,Yes,Low,Often,Yes,Yes,Low,Culture
U02883,22-25,Other,Student,Facebook,3-5,High,High,Yes,Yes,Passive,Low,Yes,No,No,No,Low,Rarely,No,Yes,Medium,Adventure
U02884,18-21,Female,Student,YouTube,1-2,High,High,Sometimes,Yes,Passive,Medium,No,Yes,Yes,No,Medium,Rarely,No,Yes,Medium,Relaxation
U02885,18-21,Female,Employed,YouTube,5+,High,High,Yes,No,Passive,High,No,Yes,Yes,Yes,Medium,Often,No,No,High,Relaxation
U02886,22-25,Female,Student,YouTube,<1,High,High,Yes,No,Passive,High,No,Yes,Yes,No,High,Often,No,Yes,High,Adventure
U02887,18-21,Male,Employed,Facebook,5+,Low,Medium,Yes,Yes,Interactive,Low,Yes,No,No,Yes,High,Rarely,No,Yes,Medium,Culture
U02888,18-21,Male,Employed,Instagram,3-5,High,Low,Yes,Yes,Passive,Low,No,Yes,No,Yes,Medium,Sometimes,No,Yes,High,Relaxation
U02889,18-21,Female,Student,YouTube,5+,Low,High,No,Yes,Interactive,High,No,Yes,No,No,Low,Often,No,Yes,Low,Culture
U02890,18-21,Male,Student,Instagram,1-2,High,Low,No,Yes,Passive,High,No,Yes,No,Yes,Medium,Often,No,No,Medium,Relaxation
U02891,22-25,Female,Employed,YouTube,3-5,Low,Medium,Yes,No,Passive,Medium,Yes,Yes,No,No,Medium,Rarely,No,No,Medium,Culture
U02892,18-21,Other,Student,TikTok,5+,High,Medium,Yes,No,Interactive,Medium,No,No,Yes,No,Low,Rarely,Yes,Yes,Medium,Relaxation
U02893,22-25,Male,Student,Instagram,5+,Medium,Low,Sometimes,Yes,Interactive,Low,No,No,Yes,Yes,Low,Rarely,No,No,Medium,Culture
U02894,18-21,Male,Student,YouTube,<1,Medium,Medium,No,No,Passive,Medium,Yes,No,Yes,Yes,Low,Sometimes,No,No,High,Urban
U02895,18-21,Male,Employed,TikTok,5+,Medium,Low,Yes,Yes,Interactive,Low,No,No,No,No,Low,Often,No,Yes,Medium,Relaxation
U02896,22-25,Other,Student,TikTok,5+,High,Medium,No,Yes,Interactive,High,No,No,Yes,No,High,Rarely,Yes,No,Low,Relaxation
U02897,18-21,Female,Student,Instagram,3-5,Low,High,Sometimes,Yes,Passive,Medium,Yes,Yes,No,No,High,Sometimes,Yes,No,Medium,Relaxation
U02898,18-21,Female,Student,Instagram,3-5,High,High,Sometimes,No,Passive,Low,Yes,Yes,No,No,Medium,Rarely,No,No,High,Adventure
U02899,18-21,Other,Employed,Instagram,1-2,High,Low,No,Yes,Passive,High,No,Yes,No,No,High,Rarely,Yes,No,Medium,Relaxation
U02900,18-21,Male,Employed,YouTube,<1,Medium,Low,Sometimes,Yes,Passive,High,No,Yes,Yes,No,Medium,Sometimes,No,Yes,Low,Urban
U02901,18-21,Female,Student,TikTok,3-5,High,Medium,Yes,No,Passive,Low,Yes,Yes,Yes,Yes,Low,Rarely,No,Yes,Medium,Urban
U02902,18-21,Other,Student,Instagram,3-5,Medium,Medium,Yes,Yes,Passive,High,No,No,Yes,No,Low,Often,No,No,High,Relaxation
U02903,18-21,Female,Student,YouTube,<1,High,Low,Yes,No,Passive,Medium,No,Yes,No,Yes,Medium,Often,Yes,No,Medium,Culture
U02904,22-25,Other,Student,Instagram,1-2,Low,High,Yes,No,Interactive,High,Yes,Yes,No,Yes,Low,Rarely,No,Yes,Low,Urban
U02905,22-25,Female,Employed,YouTube,5+,High,Low,Sometimes,No,Passive,Low,Yes,Yes,Yes,No,Low,Sometimes,No,Yes,High,Urban
U02906,22-25,Male,Student,Facebook,3-5,High,Medium,Yes,Yes,Passive,High,Yes,No,Yes,Yes,High,Sometimes,Yes,No,High,Relaxation
U02907,18-21,Female,Student,YouTube,5+,Medium,High,Yes,No,Interactive,Medium,Yes,Yes,No,Yes,Low,Often,No,No,Medium,Relaxation
U02908,22-25,Female,Employed,TikTok,3-5,Low,Low,No,Yes,Passive,Medium,Yes,No,Yes,No,Low,Often,No,No,Medium,Adventure
U02909,18-21,Other,Student,TikTok,3-5,Medium,Low,No,Yes,Interactive,High,Yes,No,Yes,Yes,High,Rarely,No,No,Medium,Relaxation
U02910,22-25,Other,Student,YouTube,1-2,Low,Low,Yes,No,Interactive,Medium,Yes,Yes,Yes,Yes,High,Sometimes,Yes,Yes,Low,Relaxation
U02911,22-25,Male,Employed,TikTok,5+,Medium,High,Yes,No,Passive,Low,No,No,Yes,No,Medium,Often,Yes,Yes,Medium,Urban
U02912,22-25,Female,Employed,TikTok,3-5,Medium,Medium,Yes,No,Passive,Low,No,No,No,Yes,Medium,Rarely,No,Yes,Medium,Culture
U02913,22-25,Other,Employed,Instagram,3-5,High,Medium,No,Yes,Interactive,Low,No,No,Yes,Yes,Medium,Sometimes,No,Yes,Medium,Relaxation
U02914,22-25,Other,Employed,Facebook,3-5,High,High,Sometimes,No,Passive,Low,No,Yes,No,No,Low,Sometimes,No,Yes,Low,Urban
U02915,22-25,Other,Employed,Facebook,3-5,High,High,No,Yes,Interactive,Low,No,Yes,Yes,No,Medium,Rarely,Yes,Yes,Low,Culture
U02916,18-21,Female,Employed,TikTok,<1,Low,High,Sometimes,Yes,Interactive,High,Yes,No,No,Yes,Low,Often,No,No,High,Adventure
U02917,18-21,Female,Employed,TikTok,3-5,Medium,Low,Yes,Yes,Interactive,High,No,Yes,Yes,No,High,Sometimes,Yes,No,High,Culture
U02918,22-25,Other,Employed,YouTube,3-5,High,High,Sometimes,Yes,Passive,High,No,Yes,Yes,Yes,Medium,Rarely,No,Yes,High,Relaxation
U02919,18-21,Other,Employed,TikTok,<1,High,High,No,Yes,Passive,High,Yes,Yes,Yes,Yes,Low,Rarely,No,No,Medium,Adventure
U02920,18-21,Female,Student,Instagram,1-2,High,High,Yes,Yes,Passive,Low,No,No,Yes,Yes,High,Often,Yes,Yes,Medium,Urban
U02921,18-21,Female,Student,Instagram,1-2,High,Medium,No,Yes,Interactive,Medium,No,Yes,No,No,High,Sometimes,No,Yes,Medium,Culture
U02922,22-25,Other,Employed,TikTok,3-5,Low,High,Sometimes,Yes,Passive,High,No,No,Yes,No,High,Rarely,Yes,Yes,Low,Urban
U02923,22-25,Male,Student,Facebook,3-5,Low,Low,No,No,Passive,Medium,Yes,Yes,Yes,No,High,Often,Yes,No,Medium,Adventure
U02924,18-21,Female,Employed,YouTube,3-5,Medium,High,Yes,Yes,Passive,Medium,Yes,Yes,Yes,No,Low,Rarely,Yes,Yes,Low,Relaxation
U02925,18-21,Other,Student,TikTok,<1,High,Medium,Sometimes,Yes,Passive,Low,Yes,Yes,No,Yes,Medium,Rarely,Yes,No,Low,Urban
U02926,18-21,Female,Employed,TikTok,<1,Low,Medium,Yes,Yes,Passive,Medium,Yes,Yes,No,Yes,Low,Often,Yes,Yes,High,Relaxation
U02927,18-21,Other,Student,Instagram,5+,Low,High,No,Yes,Interactive,Low,Yes,Yes,No,Yes,Medium,Often,Yes,Yes,Low,Adventure
U02928,22-25,Female,Employed,Instagram,1-2,Medium,Low,Sometimes,No,Passive,Low,Yes,Yes,No,No,High,Rarely,No,No,High,Adventure
U02929,18-21,Other,Student,Facebook,3-5,Medium,High,Sometimes,Yes,Passive,High,No,Yes,Yes,No,Medium,Rarely,Yes,Yes,High,Urban
U02930,18-21,Female,Student,YouTube,3-5,High,High,No,No,Interactive,Medium,No,Yes,No,Yes,High,Often,Yes,No,High,Adventure
U02931,18-21,Male,Student,Facebook,<1,High,High,Yes,No,Passive,Medium,Yes,No,Yes,No,Low,Rarely,No,No,Medium,Urban
U02932,18-21,Other,Employed,Facebook,<1,Medium,High,Yes,No,Interactive,Medium,Yes,Yes,No,No,Medium,Often,No,No,Medium,Relaxation
U02933,22-25,Male,Employed,Instagram,<1,Low,High,Sometimes,No,Interactive,High,No,No,Yes,No,Low,Sometimes,No,Yes,Medium,Relaxation
U02934,18-21,Female,Employed,Facebook,<1,Low,Low,No,No,Passive,High,Yes,No,No,No,Low,Rarely,No,No,High,Adventure
U02935,18-21,Male,Employed,YouTube,5+,Low,Low,Sometimes,No,Interactive,Low,Yes,Yes,No,No,High,Sometimes,Yes,No,Low,Urban
U02936,18-21,Other,Employed,TikTok,5+,High,High,Yes,Yes,Passive,Medium,Yes,Yes,No,Yes,Low,Rarely,Yes,No,Low,Culture
U02937,22-25,Other,Employed,Instagram,3-5,High,Medium,No,No,Interactive,High,Yes,Yes,Yes,No,Medium,Rarely,No,Yes,Medium,Relaxation
U02938,22-25,Female,Student,Instagram,5+,Medium,Low,No,No,Interactive,Low,Yes,No,No,Yes,Low,Rarely,Yes,No,Medium,Relaxation
U02939,18-21,Other,Employed,YouTube,3-5,Low,High,Yes,No,Passive,Low,Yes,Yes,Yes,Yes,High,Often,No,No,Medium,Adventure
U02940,18-21,Male,Student,YouTube,5+,Low,Medium,Sometimes,Yes,Interactive,Low,No,No,Yes,Yes,Low,Often,Yes,No,High,Culture
U02941,22-25,Other,Student,Facebook,<1,High,Low,No,Yes,Passive,High,No,Yes,No,Yes,Low,Often,Yes,No,Medium,Urban
U02942,18-21,Other,Employed,Instagram,5+,Medium,High,Yes,Yes,Passive,Low,Yes,No,Yes,Yes,Low,Rarely,No,Yes,High,Relaxation
U02943,18-21,Male,Employed,Instagram,<1,Medium,High,Sometimes,No,Interactive,Medium,Yes,No,No,Yes,High,Often,Yes,Yes,Medium,Adventure
U02944,22-25,Male,Student,TikTok,3-5,Medium,High,Sometimes,Yes,Interactive,Medium,No,Yes,No,Yes,High,Sometimes,No,No,Medium,Culture
U02945,18-21,Male,Student,YouTube,<1,Low,Low,Sometimes,Yes,Interactive,Low,Yes,Yes,Yes,Yes,High,Sometimes,Yes,Yes,Low,Urban
U02946,22-25,Other,Employed,YouTube,1-2,High,Low,No,No,Passive,High,Yes,Yes,No,Yes,Low,Sometimes,No,No,Low,Adventure
U02947,18-21,Other,Employed,TikTok,3-5,Medium,Medium,Sometimes,Yes,Interactive,Low,Yes,No,Yes,Yes,Medium,Rarely,No,Yes,High,Adventure
U02948,18-21,Male,Student,YouTube,5+,Medium,High,Yes,No,Interactive,Low,No,No,Yes,No,High,Rarely,Yes,Yes,Low,Relaxation
U02949,18-21,Male,Student,Instagram,1-2,Medium,Low,No,No,Passive,High,No,No,No,No,Medium,Rarely,No,No,Medium,Relaxation
U02950,18-21,Female,Employed,YouTube,1-2,Medium,Medium,Yes,No,Interactive,High,No,No,No,No,Low,Sometimes,No,No,Low,Adventure
U02951,22-25,Female,Student,YouTube,1-2,High,High,No,Yes,Interactive,Low,Yes,No,No,Yes,High,Rarely,No,Yes,High,Relaxation
U02952,18-21,Female,Student,Facebook,1-2,Medium,Medium,Yes,Yes,Interactive,High,No,Yes,No,No,High,Rarely,Yes,No,Medium,Urban
U02953,22-25,Female,Employed,Facebook,<1,Low,Medium,Sometimes,Yes,Passive,High,No,Yes,No,Yes,Medium,Sometimes,Yes,Yes,Low,Relaxation
U02954,22-25,Female,Student,YouTube,5+,High,Low,No,Yes,Passive,High,No,No,No,No,Medium,Often,Yes,Yes,Medium,Culture
U02955,22-25,Female,Employed,Instagram,1-2,Low,High,Sometimes,Yes,Interactive,High,No,No,No,No,Medium,Often,Yes,No,Medium,Urban
U02956,22-25,Female,Employed,Facebook,1-2,High,Medium,Yes,Yes,Interactive,Low,No,No,No,Yes,High,Rarely,No,Yes,Medium,Relaxation
U02957,22-25,Female,Student,YouTube,5+,High,Medium,Sometimes,No,Interactive,Low,Yes,No,No,No,Low,Often,No,Yes,Medium,Culture
U02958,18-21,Female,Student,YouTube,1-2,High,Low,Sometimes,No,Interactive,High,No,No,No,No,Low,Often,Yes,Yes,Low,Relaxation
U02959,22-25,Male,Student,Facebook,1-2,High,High,Yes,No,Interactive,Medium,Yes,Yes,Yes,Yes,Medium,Sometimes,No,No,Low,Culture
U02960,18-21,Male,Employed,Facebook,5+,Medium,Medium,Sometimes,No,Passive,High,No,No,No,No,Medium,Sometimes,No,No,Medium,Adventure
U02961,22-25,Female,Student,YouTube,1-2,Low,Low,Sometimes,No,Passive,High,No,No,No,Yes,Low,Sometimes,No,Yes,High,Relaxation
U02962,22-25,Female,Employed,TikTok,5+,Medium,Medium,Yes,No,Interactive,Medium,Yes,Yes,Yes,Yes,Low,Often,Yes,No,Medium,Relaxation
U02963,22-25,Male,Employed,YouTube,5+,High,Low,No,No,Passive,Medium,No,No,Yes,Yes,High,Sometimes,No,Yes,Medium,Relaxation
U02964,18-21,Other,Employed,YouTube,<1,Low,Medium,Yes,Yes,Passive,Low,Yes,No,No,No,Medium,Sometimes,Yes,No,Low,Adventure
U02965,18-21,Other,Student,YouTube,5+,High,High,Sometimes,No,Passive,Medium,Yes,Yes,No,No,Medium,Often,No,Yes,High,Adventure
U02966,18-21,Other,Student,TikTok,5+,Low,Medium,Sometimes,No,Interactive,Low,No,Yes,No,No,Low,Sometimes,Yes,No,High,Urban
U02967,18-21,Female,Student,Instagram,3-5,Medium,Low,Sometimes,No,Interactive,Low,Yes,Yes,Yes,No,Medium,Rarely,No,No,Medium,Adventure
U02968,22-25,Male,Student,Instagram,1-2,High,Low,Yes,No,Passive,Medium,Yes,No,No,Yes,High,Rarely,No,No,Low,Adventure
U02969,18-21,Female,Employed,TikTok,3-5,Medium,Medium,Yes,Yes,Passive,Low,Yes,Yes,Yes,No,Low,Sometimes,Yes,No,High,Culture
U02970,22-25,Other,Student,TikTok,<1,Medium,High,No,Yes,Interactive,High,Yes,No,Yes,No,High,Sometimes,Yes,No,High,Urban
U02971,18-21,Male,Employed,Facebook,5+,Low,High,Yes,Yes,Passive,Low,No,No,No,No,Medium,Sometimes,Yes,Yes,Low,Adventure
U02972,22-25,Other,Employed,YouTube,<1,High,Low,Sometimes,Yes,Passive,Medium,Yes,No,Yes,No,Low,Often,No,Yes,High,Relaxation
U02973,22-25,Female,Employed,Instagram,5+,Medium,Medium,No,Yes,Passive,Medium,No,Yes,Yes,No,Medium,Rarely,Yes,No,High,Adventure
U02974,18-21,Male,Employed,YouTube,<1,Low,Medium,Sometimes,No,Passive,Low,No,No,Yes,Yes,High,Rarely,Yes,Yes,High,Culture
U02975,18-21,Other,Student,YouTube,3-5,Low,Medium,No,No,Passive,Medium,No,Yes,No,No,High,Often,Yes,No,High,Culture
U02976,22-25,Female,Employed,TikTok,3-5,Low,Medium,Sometimes,Yes,Interactive,High,Yes,Yes,No,Yes,Medium,Often,Yes,Yes,Low,Adventure
U02977,22-25,Male,Employed,YouTube,<1,High,Medium,No,No,Passive,High,Yes,Yes,No,Yes,High,Rarely,No,No,Medium,Adventure
U02978,22-25,Other,Employed,Instagram,<1,High,Medium,No,No,Interactive,High,No,No,No,No,Low,Rarely,No,No,High,Adventure
U02979,18-21,Male,Employed,YouTube,1-2,Medium,High,No,No,Passive,Medium,No,No,No,No,Low,Sometimes,No,Yes,High,Culture
U02980,22-25,Female,Student,Instagram,1-2,Low,Low,Sometimes,Yes,Passive,Low,Yes,Yes,Yes,No,High,Sometimes,Yes,No,Low,Urban
U02981,22-25,Female,Student,Facebook,<1,Low,High,No,No,Passive,Medium,No,No,Yes,Yes,Low,Sometimes,Yes,No,High,Relaxation
U02982,22-25,Other,Student,Instagram,1-2,Low,Medium,Yes,Yes,Interactive,High,Yes,Yes,No,Yes,Low,Rarely,Yes,No,Medium,Relaxation
U02983,18-21,Other,Employed,Facebook,<1,Low,Medium,Sometimes,Yes,Passive,High,No,Yes,Yes,Yes,Medium,Sometimes,Yes,No,Low,Culture
U02984,18-21,Male,Employed,Facebook,5+,High,High,Sometimes,Yes,Interactive,Medium,Yes,No,No,Yes,High,Sometimes,Yes,No,High,Urban
U02985,22-25,Female,Employed,Facebook,5+,High,High,Sometimes,No,Interactive,High,No,Yes,No,No,High,Sometimes,Yes,No,Medium,Culture
U02986,22-25,Other,Employed,YouTube,3-5,Medium,High,Yes,Yes,Passive,High,No,No,Yes,Yes,Medium,Sometimes,Yes,No,High,Urban
U02987,18-21,Female,Employed,TikTok,5+,High,High,Yes,No,Passive,Low,No,Yes,Yes,No,High,Often,Yes,Yes,Medium,Urban
U02988,22-25,Female,Employed,YouTube,5+,Medium,Low,Sometimes,Yes,Interactive,Medium,Yes,No,No,Yes,Low,Often,No,Yes,Low,Urban
U02989,18-21,Other,Employed,Facebook,5+,Low,Medium,No,Yes,Passive,Medium,No,Yes,No,No,Medium,Often,No,Yes,High,Relaxation
U02990,22-25,Other,Student,Facebook,5+,High,Medium,Yes,Yes,Interactive,Low,Yes,Yes,Yes,Yes,High,Often,No,Yes,Medium,Adventure
U02991,18-21,Male,Student,TikTok,5+,High,High,Yes,No,Passive,Low,Yes,Yes,Yes,Yes,Low,Often,No,No,Low,Urban
U02992,22-25,Male,Student,Instagram,3-5,Low,Low,Sometimes,Yes,Passive,Low,Yes,No,Yes,No,High,Often,Yes,Yes,High,Adventure
U02993,18-21,Other,Employed,TikTok,5+,Medium,Low,No,No,Passive,Low,No,Yes,No,Yes,High,Rarely,No,No,Medium,Urban
U02994,22-25,Male,Employed,Instagram,3-5,Low,High,No,No,Interactive,High,No,Yes,No,Yes,Medium,Rarely,No,Yes,High,Urban
U02995,18-21,Male,Employed,Facebook,<1,High,Medium,Sometimes,Yes,Interactive,Medium,No,Yes,Yes,No,Low,Rarely,No,Yes,High,Adventure
U02996,18-21,Other,Student,YouTube,<1,Low,High,Sometimes,Yes,Interactive,Medium,No,No,Yes,No,Medium,Rarely,No,Yes,Low,Relaxation
U02997,18-21,Female,Student,YouTube,3-5,Medium,High,Yes,No,Interactive,High,No,Yes,No,No,Low,Sometimes,Yes,Yes,Medium,Culture
U02998,22-25,Male,Employed,YouTube,<1,Medium,Low,Yes,No,Passive,High,No,No,No,Yes,Medium,Rarely,Yes,No,Medium,Culture
U02999,18-21,Male,Student,YouTube,1-2,Low,Medium,No,Yes,Interactive,High,Yes,Yes,Yes,Yes,Medium,Sometimes,No,No,Medium,Relaxation
U03000,22-25,Male,Employed,TikTok,5+,Low,Low,Sometimes,No,Passive,High,No,Yes,Yes,Yes,High,Sometimes,No,Yes,Low,Relaxation
U03001,22-25,Other,Student,TikTok,<1,Low,High,Sometimes,No,Passive,High,Yes,Yes,No,No,High,Rarely,No,No,Medium,Culture
U03002,22-25,Female,Student,YouTube,3-5,Medium,Low,Sometimes,No,Interactive,Medium,Yes,Yes,Yes,Yes,Low,Often,Yes,Yes,Medium,Urban
U03003,18-21,Male,Employed,YouTube,3-5,Low,Low,Yes,Yes,Interactive,Medium,No,Yes,Yes,Yes,High,Sometimes,Yes,Yes,High,Relaxation
U03004,22-25,Female,Employed,YouTube,5+,Low,High,No,Yes,Interactive,Low,Yes,Yes,No,No,Medium,Sometimes,Yes,No,High,Culture
U03005,22-25,Other,Employed,YouTube,<1,Low,High,Sometimes,Yes,Passive,Low,No,Yes,No,No,Medium,Rarely,Yes,No,High,Culture
U03006,18-21,Female,Employed,TikTok,5+,High,High,Yes,No,Interactive,Low,No,No,Yes,No,Low,Often,No,Yes,High,Culture
U03007,22-25,Female,Employed,Facebook,1-2,Low,Medium,No,No,Interactive,Medium,Yes,Yes,No,Yes,High,Rarely,Yes,No,Low,Culture
U03008,22-25,Other,Student,YouTube,<1,Medium,High,Sometimes,No,Interactive,Low,Yes,Yes,No,No,Low,Rarely,No,Yes,High,Relaxation
U03009,18-21,Other,Employed,Instagram,<1,Low,Medium,Yes,No,Interactive,Medium,No,No,No,No,Medium,Rarely,Yes,Yes,Low,Adventure
U03010,22-25,Other,Student,TikTok,<1,High,Medium,No,Yes,Passive,High,Yes,No,Yes,Yes,Low,Rarely,Yes,Yes,Low,Culture
U03011,22-25,Female,Student,Facebook,5+,Low,Low,Sometimes,Yes,Passive,Low,Yes,No,Yes,No,Medium,Sometimes,No,No,High,Adventure
U03012,18-21,Female,Student,Facebook,<1,High,Medium,Sometimes,No,Passive,Medium,Yes,No,Yes,No,High,Sometimes,No,No,Medium,Relaxation
U03013,22-25,Other,Student,Facebook,3-5,Medium,Low,Yes,No,Passive,Medium,Yes,No,Yes,Yes,Low,Sometimes,No,Yes,Low,Culture
U03014,18-21,Male,Student,Facebook,<1,Low,Low,Sometimes,Yes,Passive,High,No,Yes,No,No,High,Rarely,Yes,Yes,Medium,Culture
U03015,22-25,Male,Student,YouTube,1-2,Low,Low,Sometimes,Yes,Passive,High,Yes,No,No,No,High,Sometimes,Yes,Yes,Low,Urban
U03016,18-21,Female,Student,YouTube,3-5,High,High,Sometimes,Yes,Passive,Medium,Yes,No,No,Yes,High,Sometimes,No,No,Medium,Relaxation
U03017,22-25,Male,Employed,Instagram,<1,High,Low,Sometimes,Yes,Interactive,Medium,Yes,Yes,Yes,Yes,Low,Rarely,Yes,Yes,Low,Adventure
U03018,18-21,Male,Employed,TikTok,5+,Medium,Low,No,No,Interactive,High,No,No,Yes,No,High,Rarely,No,Yes,High,Adventure
U03019,22-25,Male,Employed,Facebook,<1,High,High,Yes,No,Passive,Medium,Yes,Yes,No,Yes,High,Often,Yes,No,Low,Urban
U03020,18-21,Other,Student,YouTube,3-5,High,Low,Sometimes,Yes,Passive,Medium,No,No,Yes,No,Medium,Often,No,No,Medium,Urban
U03021,18-21,Other,Student,YouTube,5+,Medium,Medium,Yes,Yes,Interactive,High,No,No,Yes,Yes,Medium,Rarely,No,Yes,High,Adventure
U03022,18-21,Other,Employed,YouTube,5+,Low,Low,Sometimes,Yes,Passive,Medium,Yes,Yes,Yes,No,Low,Rarely,No,Yes,Medium,Culture
U03023,18-21,Other,Employed,YouTube,3-5,Medium,High,Yes,Yes,Passive,Low,No,Yes,Yes,No,Medium,Rarely,No,No,Low,Relaxation
U03024,18-21,Male,Employed,Instagram,<1,Medium,High,Yes,No,Interactive,Medium,No,Yes,Yes,Yes,Medium,Sometimes,Yes,No,Low,Culture
U03025,22-25,Male,Employed,Instagram,5+,High,High,No,Yes,Passive,High,Yes,No,No,Yes,Low,Sometimes,No,No,Low,Relaxation
U03026,22-25,Other,Student,YouTube,<1,Medium,Medium,Sometimes,No,Interactive,Medium,Yes,No,Yes,No,Medium,Rarely,No,No,Medium,Relaxation
U03027,18-21,Other,Student,TikTok,5+,Medium,Medium,Sometimes,Yes,Passive,Low,No,No,No,Yes,High,Often,Yes,Yes,High,Urban
U03028,18-21,Female,Employed,Instagram,1-2,Low,High,No,Yes,Interactive,Medium,Yes,Yes,Yes,No,High,Rarely,No,No,High,Adventure
U03029,22-25,Female,Employed,Instagram,<1,High,Medium,No,Yes,Passive,High,Yes,Yes,Yes,Yes,Low,Often,Yes,Yes,Low,Urban
U03030,22-25,Female,Student,TikTok,1-2,High,High,No,No,Passive,High,No,Yes,No,Yes,High,Sometimes,Yes,No,Low,Relaxation
U03031,22-25,Female,Student,Instagram,<1,High,Low,Yes,No,Passive,High,Yes,Yes,Yes,Yes,Medium,Rarely,No,Yes,High,Relaxation
U03032,18-21,Male,Employed,YouTube,5+,High,Low,Yes,No,Passive,High,No,No,Yes,No,High,Often,Yes,No,Medium,Urban
U03033,18-21,Female,Employed,YouTube,5+,High,Low,Yes,No,Interactive,Medium,No,No,No,Yes,Medium,Sometimes,Yes,Yes,Medium,Adventure
U03034,18-21,Male,Employed,TikTok,5+,Medium,High,Yes,Yes,Passive,High,Yes,No,Yes,Yes,Medium,Rarely,No,No,High,Adventure
U03035,18-21,Other,Employed,Instagram,3-5,Medium,High,No,Yes,Passive,High,Yes,No,Yes,Yes,Medium,Often,Yes,Yes,Medium,Culture
U03036,22-25,Other,Employed,TikTok,3-5,Low,Low,Yes,No,Interactive,Medium,No,No,Yes,No,Medium,Often,Yes,No,Medium,Adventure
U03037,18-21,Male,Employed,TikTok,3-5,Low,High,No,No,Interactive,Medium,Yes,Yes,Yes,Yes,Low,Sometimes,No,Yes,Low,Culture
U03038,18-21,Male,Student,TikTok,5+,Low,Medium,No,Yes,Passive,High,Yes,Yes,Yes,Yes,Medium,Rarely,Yes,No,Low,Adventure
U03039,22-25,Other,Employed,Facebook,<1,Low,High,Sometimes,Yes,Passive,Medium,Yes,Yes,Yes,Yes,High,Often,Yes,Yes,Low,Urban
